SOC,OCV,R0,R1,C1,tau
0.9489849492474624,4.096575353105256,0.032309322033898275,0.014822145612221713,2702.2876907578757,40.05370163852759
0.8979407303698518,4.0741257071474015,0.03212520593080711,0.0212041659020937,1973.707515680011,41.85082160468816
0.8469256796173141,4.045706586294278,0.031770312408072175,0.025451354961142224,2939.448948901149,74.81295858863955
0.7958814607397037,3.990877465324604,0.03154239981168735,0.027062604432044432,6065.07861392358,164.13682337786616
0.744866409987166,3.9241963494334566,0.03147614284873807,0.020674206540438538,8038.226222318251,166.18394913897654
0.6938513592346284,3.874007520131554,0.031185642836128236,0.017504380012011843,4543.33770800736,79.52830976386373
0.6428071403570179,3.8341354413956887,0.031244483671668224,0.018426139655511244,3463.2118579960493,63.81362535205778
0.5917629214794073,3.7910915934646305,0.031178304606153267,0.020657584996160994,2866.357018963281,59.212013748576624
0.5407478707268696,3.744737452159692,0.030952100741438403,0.02256226858443418,3027.2684223700026,68.30204322268834
0.4897036518492591,3.696274584028073,0.031005471553803465,0.02422033214519295,3635.163393504087,88.04486479271571
0.4386886010967215,3.64839995378758,0.030953922203260154,0.025180221085002927,4050.1597499156505,101.98391793245625
0.3876735503441838,3.598117684416971,0.030713108966815734,0.023839399797263714,4139.4265504562145,98.68144446773393
0.33662933146657326,3.5311401794163517,0.030538393645189666,0.015689769455268007,4533.198094823865,71.1248330028466
0.2856142807140357,3.48724365608949,0.030893256443450492,0.022803304747743662,2318.608679360613,52.87194030622353
0.23457006183642515,3.4018838587818063,0.03124264532831263,0.02715684750032476,3467.1479429490273,94.15680794773142
0.1835550110838875,3.306845601369449,0.0319449346981998,0.029738326654001872,3188.676660364186,94.82590811990194
0.13251079220627693,3.2291120594279525,0.03342552815865354,0.033983674986502774,2856.1457705057487,97.0623295789419
0.08149574145373928,3.147364156424668,0.036886692552064934,0.04380971598177029,2287.621353173765,100.22004175637566
0.03048069070120163,3.015848278116495,0.04866709821691284,0.05668656563774474,1709.2815076488705,96.89329837672099
